Day,Date,Replicate,Run,Colony,F,N,Vol,Lane,rawConc,nSperm,nEggs,nFert,nPoly,nControlEggs,nControlFert
1,9/10/15,1,1,1,1,2,2.38,1,745000000,177310000,100,17,0,100,0
1,9/10/15,1,1,1,1,2.5,2.97,2,745000000,221265000,83,40,2,100,0
1,9/10/15,1,1,1,1,3,3.57,3,745000000,265965000,79,48,1,100,0
1,9/10/15,1,1,1,1,1.5,1.78,4,745000000,132610000,90,13,2,100,0
1,9/10/15,1,1,1,1,1,1.19,5,745000000,88655000,76,11,0,100,0
1,9/10/15,1,1,1,1,0.5,0.59,6,745000000,43955000,100,8,1,100,0
2,13/10/15,2,2,2,1,1.5,1.8244897959,1,838900000,153054421.768708,49,19,0,50,0
2,13/10/15,2,2,2,1,2,2.4326530612,2,838900000,204072562.358277,50,11,0,50,0
2,13/10/15,2,2,2,1,1,1.2163265306,3,838900000,102036281.179139,57,9,0,50,0
2,13/10/15,2,2,2,1,3,3.6489795918,4,838900000,306108843.537415,48,28,0,50,0
2,13/10/15,2,2,2,1,0.5,0.6081632653,5,838900000,51018140.5895691,55,9,0,50,0
2,13/10/15,2,2,2,1,2.5,3.0408163265,6,838900000,255090702.947846,62,28,0,50,0
3,14/10/15,3,3,2,1,1,1.1183673469,1,585000000,65424489.7959186,74,13,0,50,0
3,14/10/15,3,3,2,1,0.5,0.5591836735,2,585000000,32712244.8979592,54,7,2,50,0
3,14/10/15,3,3,2,1,1.5,1.6775510204,3,585000000,98136734.6938774,65,10,0,50,0
3,14/10/15,3,3,2,1,2.5,2.7959183673,4,585000000,163561224.489796,51,14,0,50,0
3,14/10/15,3,3,2,1,3,3.3551020408,5,585000000,196273469.387755,54,24,0,50,0
3,14/10/15,3,3,2,1,2,2.2367346939,6,585000000,130848979.591837,53,13,0,50,0
3,14/10/15,4,4,2,1,3,3.4775510204,1,500000000,173877551.020408,66,41,1,100,9
3,14/10/15,4,4,2,1,2.5,2.8979591837,2,500000000,144897959.183674,59,19,0,100,9
3,14/10/15,4,4,2,1,1.5,1.7387755102,3,500000000,86938775.510204,69,20,0,100,9
3,14/10/15,4,4,2,1,0.5,0.5795918367,4,500000000,28979591.8367347,63,8,1,100,9
3,14/10/15,4,4,2,1,2,2.3183673469,5,500000000,115918367.346939,64,17,1,100,9
3,14/10/15,4,4,2,1,1,1.1591836735,6,500000000,57959183.6734695,70,4,0,100,9
4,15/10/15,5,5,2,1,3,0.5714285714,1,500000000,28571428.5714286,89,53,2,100,0
4,15/10/15,5,5,2,1,0.5,0.0952380952,2,500000000,4761904.76190476,91,11,0,100,0
4,15/10/15,5,5,2,1,2,0.380952381,3,500000000,19047619.047619,100,28,1,100,0
4,15/10/15,5,5,2,1,2.5,0.4761904762,4,500000000,23809523.8095238,100,29,1,100,0
4,15/10/15,5,5,2,1,1,0.1904761905,5,500000000,9523809.52380952,100,14,0,100,0
4,15/10/15,5,5,2,1,1.5,0.2857142857,6,500000000,14285714.2857143,100,27,0,100,0
5,16/10/15,6,6,2,1,0.5,0.4734693878,1,1235000000,58473469.3877551,100,22,1,100,0
5,16/10/15,6,6,2,1,2.5,2.3673469388,2,1235000000,292367346.938776,100,66,3,100,0
5,16/10/15,6,6,2,1,1,0.9469387755,3,1235000000,116946938.77551,100,38,0,100,0
5,16/10/15,6,6,2,1,2,1.893877551,4,1235000000,233893877.55102,100,42,1,100,0
5,16/10/15,6,6,2,1,3,2.8408163265,5,1235000000,350840816.326531,100,87,2,100,0
5,16/10/15,6,6,2,1,1.5,1.4204081633,6,1235000000,175420408.163265,100,52,1,100,0
6,20/10/15,7,7,3,1,1,0.8244897959,1,650000000,53591836.7346939,100,40,0,100,0
6,20/10/15,7,7,3,1,1.5,1.2367346939,2,650000000,80387755.1020408,100,47,0,100,0
6,20/10/15,7,7,3,1,0.5,0.412244898,3,650000000,26795918.3673469,100,38,0,100,0
6,20/10/15,7,7,3,1,3,2.4734693878,4,650000000,160775510.204082,100,67,3,100,0
6,20/10/15,7,7,3,1,2,1.6489795918,5,650000000,107183673.469388,100,54,2,100,0
6,20/10/15,7,7,3,1,2.5,2.0612244898,6,650000000,133979591.836735,100,60,1,100,0
6,20/10/15,8,8,3,1,3,2.7673469388,1,695000000,192330612.244898,100,70,0,100,4
6,20/10/15,8,8,3,1,2.5,2.306122449,2,695000000,160275510.204082,100,53,0,100,4
6,20/10/15,8,8,3,1,1,0.9224489796,3,695000000,64110204.0816327,100,24,1,100,4
6,20/10/15,8,8,3,1,2,1.8448979592,4,695000000,128220408.163265,100,36,1,100,4
6,20/10/15,8,8,3,1,1.5,1.3836734694,5,695000000,96165306.122449,100,51,0,100,4
6,20/10/15,8,8,3,1,0.5,0.4612244898,6,695000000,32055102.0408163,100,22,0,100,4
