ind,pulseNo,pulseTime
3,1,00:00:05.60
3,2,00:00:04.36
3,3,00:00:04.13
3,4,00:00:04.86
3,5,00:00:06.34
3,6,00:00:05.00
3,7,00:00:06.08
3,8,00:00:06.34
3,9,00:00:05.48
3,10,00:00:06.31
3,11,00:00:05.70
3,12,00:00:06.02
3,13,00:00:06.30
3,14,00:00:04.72
3,15,00:00:04.46
3,16,00:00:04.57
3,17,00:00:06.40
3,18,00:00:06.43
3,19,00:00:05.14
3,20,00:00:05.55
3,21,00:00:05.44
3,22,00:00:06.18
3,23,00:00:07.93
3,24,00:00:04.86
3,25,00:00:05.30
3,26,00:00:06.83
3,27,00:00:11.02
3,28,00:00:09.44
3,29,00:00:05.83
3,30,00:00:14.13
3,31,00:00:03.29
3,32,00:00:05.42
3,33,00:04:56.00
3,34,00:00:17.33
3,35,00:00:10.26
3,36,00:00:28.25
4,1,00:00:03.14
4,2,00:00:04.74
4,3,00:00:04.42
4,4,00:00:03.23
4,5,00:00:04.39
4,6,00:00:04.41
4,7,00:00:06.32
4,8,00:00:05.74
4,9,00:00:13.85
4,10,00:00:09.58
4,11,00:00:04.73
4,12,00:00:03.98
4,13,00:00:08.96
4,14,00:00:07.97
4,15,00:00:10.93
4,16,00:00:08.99
4,17,00:00:13.23
4,18,00:00:09.84
4,19,00:00:06.32
4,20,00:00:04.17
4,21,00:00:11.22
5,1,00:00:05.43
5,2,00:00:02.81
5,3,00:00:03.62
5,4,00:00:03.29
5,5,00:00:03.53
5,6,00:00:05.56
5,7,00:00:04.44
5,8,00:00:08.62
5,9,00:00:09.90
5,10,00:00:05.59
5,11,00:00:05.03
5,12,00:00:08.46
5,13,00:00:06.56
5,14,00:00:09.93
5,15,00:00:05.98
5,16,00:00:09.46
5,17,00:00:12.30
5,18,00:00:09.70
5,19,00:00:08.40
5,20,00:00:05.83
6,1,00:00:07.57
6,2,00:00:07.24
6,3,00:00:03.83
6,4,00:00:05.73
6,5,00:00:04.47
6,6,00:00:05.38
6,7,00:00:07.17
6,8,00:00:09.16
6,9,00:00:06.83
6,10,00:00:07.07
6,11,00:00:09.56
6,12,00:00:06.70
6,13,00:00:07.62
6,14,00:00:08.60
6,15,00:00:06.89
6,16,00:00:08.00
6,17,00:00:06.59
6,18,00:00:07.53
6,19,00:00:07.71
6,20,00:00:09.17
6,21,00:00:09.60
6,22,00:00:10.50
6,23,00:00:11.44
6,24,00:00:11.34
6,25,00:00:04.96
6,26,00:00:14.50
6,27,00:00:11.03
6,28,00:00:12.36
6,29,00:00:10.33
6,30,00:00:12.83
6,31,00:00:08.70
7,1,00:00:02.88
7,2,00:00:07.36
7,3,00:00:10.39
7,4,00:00:14.27
7,5,00:00:04.80
7,6,00:00:19.66
7,7,00:00:03.65
7,8,00:00:11.66
7,9,00:00:11.57
7,10,00:00:10.52
7,11,00:00:15.46
7,12,00:00:10.37
7,13,00:00:17.06
7,14,00:00:11.60
7,15,00:00:21.77
8,1,00:00:02.91
8,2,00:00:05.55
8,3,00:00:04.84
8,4,00:00:07.56
8,5,00:00:08.62
8,6,00:00:07.87
8,7,00:00:13.56
8,8,00:00:13.69
8,9,00:00:10.13
8,10,00:00:16.09
8,11,00:00:14.49
8,12,00:00:15.94
8,13,00:00:26.00
9,1,00:00:04.54
9,2,00:00:07.38
9,3,00:00:07.41
9,4,00:00:04.72
9,5,00:00:07.71
9,6,00:00:07.72
9,7,00:00:06.67
9,8,00:00:09.70
9,9,00:00:19.63
9,10,00:00:10.72
9,11,00:00:11.17
9,12,00:00:20.50
9,13,00:00:13.30
9,14,00:00:28.39
10,1,00:00:01.74
10,2,00:00:01.42
10,3,00:00:02.44
10,4,00:00:02.44
10,5,00:00:02.36
10,6,00:00:03.33
10,7,00:00:05.13
10,8,00:00:03.80
10,9,00:00:04.63
10,10,00:00:16.27
10,11,00:00:11.73
10,12,00:00:17.50
10,13,00:00:17.66
10,14,00:00:16.59
10,15,00:00:24.30
10,16,00:00:02.47
10,17,00:00:15.40
10,18,00:00:23.16
10,19,00:00:12.41
10,20,00:00:20.27
10,21,00:00:12.93
10,22,00:00:27.07
11,1,00:00:04.57
11,2,00:00:05.06
11,3,00:00:04.20
11,4,00:00:03.70
11,5,00:00:04.43
11,6,00:00:06.30
11,7,00:00:05.59
11,8,00:00:04.30
11,9,00:00:06.09
11,10,00:00:09.24
11,11,00:00:10.03
11,12,00:00:13.63
11,13,00:00:10.95
11,14,00:00:07.37
11,15,00:00:09.75
11,16,00:00:13.02
11,17,00:00:07.43
11,18,00:00:08.07
11,19,00:00:20.66
12,1,00:00:01.01
12,2,00:00:06.16
12,3,00:00:06.32
12,4,00:00:06.64
12,5,00:00:05.39
12,6,00:00:03.89
12,7,00:00:03.40
12,8,00:00:05.06
12,9,00:00:03.12
12,10,00:00:05.73
12,11,00:00:04.07
12,12,00:00:04.68
12,13,00:00:13.37
12,14,00:00:03.82
12,15,00:00:04.09
12,16,00:00:04.24
12,17,00:00:04.63
12,18,00:00:05.42
12,19,00:00:05.56
12,20,00:00:12.30
12,21,00:00:04.63
13,1,00:00:04.34
13,2,00:00:04.06
13,3,00:00:05.28
13,4,00:00:03.04
13,5,00:00:02.86
13,6,00:00:03.66
13,7,00:00:03.80
13,8,00:00:04.63
13,9,00:00:04.42
13,10,00:00:05.12
13,11,00:00:04.80
13,12,00:00:05.21
13,13,00:00:05.70
13,14,00:00:05.14
13,15,00:00:04.06
13,16,00:00:05.22
13,17,00:00:04.96
13,18,00:00:06.41
13,19,00:00:07.50
13,20,00:00:07.45
13,21,00:00:06.94
13,22,00:00:07.26
13,23,00:00:06.30
13,24,00:00:09.08
13,25,00:00:10.64
13,26,00:00:07.82
14,1,00:00:02.82
14,2,00:00:07.52
14,3,00:00:05.32
14,4,00:00:04.51
14,5,00:00:05.62
14,6,00:00:05.91
14,7,00:00:07.25
14,8,00:00:10.91
14,9,00:00:11.45
14,10,00:00:05.83
14,11,00:00:05.41
14,12,00:00:10.62
14,13,00:00:11.87
14,14,00:00:09.95
14,15,00:00:12.00
14,16,00:00:16.09
14,17,00:00:13.16
14,18,00:00:15.33
14,19,00:00:09.17
14,20,00:00:15.87
14,21,00:00:16.15
15,1,00:00:04.14
15,2,00:00:04.83
15,3,00:00:02.65
15,4,00:00:01.33
15,5,00:00:04.04
15,6,00:00:03.03
15,7,00:00:02.95
15,8,00:00:03.51
15,9,00:00:03.92
15,10,00:00:03.70
15,11,00:00:04.18
15,12,00:00:04.61
15,13,00:00:05.58
15,14,00:00:06.58
15,15,00:00:08.70
15,16,00:00:12.73
15,17,00:00:03.76
15,18,00:00:14.23
15,19,00:00:09.53
15,20,00:00:06.13
16,1,00:00:27.61
16,2,00:00:05.75
16,3,00:00:04.19
16,4,00:00:05.33
16,5,00:00:06.65
16,6,00:00:08.04
16,7,00:00:08.19
16,8,00:00:02.06
16,9,00:00:06.60
16,10,00:00:07.26
16,11,00:00:07.80
16,12,00:00:11.25
16,13,00:00:11.57
16,14,00:00:09.52
16,15,00:00:12.56
16,16,00:00:06.82
16,17,00:00:10.33
16,18,00:00:07.93
16,19,00:00:11.14
17,1,00:00:02.64
17,2,00:00:03.59
17,3,00:00:06.89
17,4,00:00:09.03
17,5,00:00:04.47
17,6,00:00:05.36
17,7,00:00:04.93
17,8,00:00:05.36
17,9,00:00:05.08
17,10,00:00:06.50
17,11,00:00:11.31
17,12,00:00:09.05
17,13,00:00:07.24
17,14,00:00:05.65
17,15,00:00:13.94
17,16,00:00:12.02
17,17,00:00:10.13
17,18,00:00:14.01
17,19,00:00:15.15
18,1,00:00:03.60
18,2,00:00:04.64
18,3,00:00:04.10
18,4,00:00:03.62
18,5,00:00:05.47
18,6,00:00:04.12
18,7,00:00:05.51
18,8,00:00:09.53
18,9,00:00:05.78
18,10,00:00:10.73
18,11,00:00:07.50
18,12,00:00:08.69
18,13,00:00:11.97
18,14,00:00:09.66
18,15,00:00:11.91
18,16,00:00:09.79
18,17,00:00:08.20
18,18,00:00:09.39
18,19,00:00:06.53
18,20,00:00:13.52
18,21,00:00:10.70
18,22,00:00:09.41
19,1,00:00:02.90
19,2,00:00:03.91
19,3,00:00:02.41
19,4,00:00:02.27
19,5,00:00:02.56
19,6,00:00:02.84
19,7,00:00:03.03
19,8,00:00:03.19
19,9,00:00:03.56
19,10,00:00:03.14
19,11,00:00:03.95
19,12,00:00:03.94
19,13,00:00:04.42
19,14,00:00:08.87
19,15,00:00:05.20
19,16,00:00:04.55
19,17,00:00:06.76
19,18,00:00:06.21
19,19,00:00:08.55
19,20,00:00:04.97
19,21,00:00:04.02
19,22,00:00:04.41
19,23,00:00:06.13
19,24,00:00:09.30
19,25,00:00:10.89
20,1,00:00:05.65
20,2,00:00:03.82
20,3,00:00:08.97
20,4,00:00:06.38
20,5,00:00:05.83
20,6,00:00:22.73
20,7,00:00:06.29
20,8,00:00:15.69
20,9,00:00:05.47
20,10,00:00:07.58
20,11,00:00:07.53
20,12,00:00:09.68
20,13,00:00:08.29
