series,conc,conclev,fert,poly,trials,control,f,t
1,2.50E+02,1,17,1,100,0,1,100
1,2.50E+03,2,15,1,100,,,
1,2.50E+04,3,72,5,100,,,
1,2.50E+05,4,64,9,100,,,
1,2.50E+06,5,35,36,100,,,
1,2.50E+07,6,15,49,100,,,
2,2.50E+02,1,12,0,100,,,
2,2.50E+03,2,68,2,100,,,
2,2.50E+04,3,68,2,100,,,
2,2.50E+05,4,77,7,100,,,
2,2.50E+06,5,45,27,100,,,
2,2.50E+07,6,13,62,100,,,
3,2.50E+02,1,9,0,100,,,
3,2.50E+03,2,10,0,100,,,
3,2.50E+04,3,23,28,100,,,
3,2.50E+05,4,84,3,100,,,
3,2.50E+06,5,77,12,100,,,
3,2.50E+07,6,28,65,100,,,
